DURACAO;AVL EIXO X;AVL EIXO Y;AVL EIXO Z
0;0.016;0.005;0.002
40;0.016;0.005;0.002
80;0.012;0.001;-0.001
120;0.004;-0.001;-0.001
160;0.005;-0.001;-0.001
200;0.002;-0.004;-0.002
220;0.002;-0.006;-0.003
260;-0.003;0.001;-0.004
300;0.001;0.000;-0.001
340;0.003;-0.006;-0.004
380;0.002;0.000;-0.001
420;0.007;-0.004;-0.001
460;0.005;-0.004;0.000
500;0.002;-0.002;0.000
540;0.004;-0.002;0.000
580;0.006;0.001;0.001
620;0.006;0.002;0.002
660;0.004;0.002;0.000
700;0.003;-0.001;0.000
740;0.000;-0.003;0.000
780;0.002;-0.006;0.001
820;0.003;-0.006;0.000
840;0.002;-0.004;0.000
880;-0.001;-0.002;0.000
920;0.000;-0.001;-0.001
960;0.002;0.001;-0.001
1000;0.004;0.001;-0.001
1020;0.002;-0.001;-0.001
1060;0.001;-0.001;-0.001
1100;0.002;0.000;0.001
1120;0.003;-0.002;0.000
1160;0.003;-0.003;0.001
1200;0.002;0.002;-0.001
1240;0.001;-0.002;-0.001
1280;0.001;0.004;-0.003
1320;0.002;0.004;0.000
1340;0.003;-0.002;-0.003
1380;0.005;0.001;0.001
1420;0.005;-0.002;-0.002
1460;0.006;-0.006;-0.003
1500;0.003;-0.003;-0.004
1540;0.002;-0.002;-0.004
1580;0.007;-0.004;-0.005
1600;0.007;-0.002;-0.004
1640;0.004;0.001;-0.004
1680;-0.001;-0.001;-0.004
1720;-0.002;-0.001;-0.002
1760;-0.002;-0.003;-0.002
1800;-0.004;-0.004;-0.001
1840;-0.009;-0.003;0.001
1880;-0.013;-0.002;0.002
1920;-0.012;-0.004;0.001
1960;-0.010;-0.002;0.002
2000;-0.007;-0.002;0.001
2040;-0.006;0.000;-0.001
2080;-0.002;0.001;-0.001
2120;-0.002;0.001;-0.002
2160;0.001;-0.001;-0.002
2200;-0.001;0.002;-0.003
2240;-0.002;-0.003;-0.002
2280;-0.003;0.001;-0.002
2300;-0.006;0.004;-0.003
2340;-0.005;0.003;-0.001
2380;-0.004;-0.005;-0.004
2420;-0.008;0.000;-0.001
2460;-0.005;-0.004;-0.002
2500;-0.008;-0.001;0.001
2540;-0.005;0.003;0.002
2580;-0.001;0.003;0.002
2600;0.001;0.001;0.002
2640;0.008;0.000;0.001
2680;0.005;0.009;0.002
2720;0.012;0.006;0.002
2760;0.016;0.004;0.001
2800;0.023;0.004;-0.001
2820;0.027;0.001;-0.001
2860;0.033;0.001;-0.002
2900;0.023;0.009;-0.001
2940;0.023;0.005;0.005
2980;0.049;-0.007;0.002
3000;0.058;-0.009;0.001
3040;0.065;-0.012;0.009
3080;0.060;-0.011;0.010
3100;0.060;-0.001;0.009
3140;0.063;0.010;0.006
3180;0.075;0.016;0.012
3220;0.068;0.025;0.021
3260;0.046;0.015;0.021
3300;0.014;-0.014;0.014
3340;-0.024;-0.021;0.007
3380;-0.092;-0.026;0.005
3420;-0.232;-0.045;-0.024
3460;-0.323;-0.038;-0.048
3500;-0.418;-0.020;-0.084
3540;-0.574;-0.006;-0.114
3580;-0.665;-0.033;-0.120
3620;-0.748;-0.088;-0.133
3660;-0.890;-0.132;-0.164
3700;-0.986;-0.145;-0.167
3720;-1.002;-0.147;-0.162
3760;-1.008;-0.167;-0.136
3800;-1.028;-0.182;-0.119
3840;-1.020;-0.213;-0.084
3880;-0.993;-0.191;-0.049
3920;-0.940;-0.203;0.000
3960;-0.888;-0.246;0.035
4000;-0.783;-0.313;0.001
4040;-0.600;-0.242;-0.037
4080;-0.338;-0.243;-0.073
4120;-0.177;-0.215;-0.098
4160;-0.035;-0.133;-0.068
4200;0.112;-0.087;-0.076
4240;0.198;-0.066;-0.114
4280;0.248;-0.022;-0.114
4320;0.311;0.066;-0.128
4360;0.412;0.096;-0.136
4400;0.572;0.009;-0.170
4440;0.736;-0.052;-0.177
4480;0.859;-0.071;-0.175
4520;0.985;-0.045;-0.211
4560;1.038;0.028;-0.217
4600;1.001;0.069;-0.192
4620;0.947;0.054;-0.165
4660;0.839;0.021;-0.123
4700;0.688;-0.051;-0.060
4740;0.577;-0.033;-0.045
4780;0.454;0.065;-0.011
4820;0.351;0.170;0.017
4860;0.217;0.241;0.020
4900;0.067;0.296;0.025
4940;-0.045;0.288;0.036
4980;-0.114;0.183;0.023
5020;-0.178;0.171;0.015
5060;-0.180;0.192;-0.003
5100;-0.166;0.109;-0.011
5140;-0.144;0.060;-0.026
5160;-0.117;0.025;-0.028
5200;-0.057;-0.046;-0.024
5240;-0.004;-0.172;0.008
5280;-0.001;-0.331;0.039
5320;-0.010;-0.417;0.091
5360;-0.020;-0.442;0.133
5380;-0.045;-0.444;0.155
5420;-0.079;-0.487;0.170
5460;-0.162;-0.465;0.184
5500;-0.195;-0.476;0.189
5540;-0.089;-0.505;0.189
5580;-0.164;-0.146;0.113
5600;-0.319;0.089;0.056
5640;-0.187;0.359;-0.034
5680;-0.019;-0.055;-0.070
5720;0.024;-0.119;-0.065
5760;0.060;-0.156;-0.055
5800;0.078;-0.065;0.049
5840;0.105;0.014;0.115
5880;0.101;0.003;0.134
5920;0.073;0.049;0.133
5960;-0.002;0.105;0.099
6000;-0.044;0.132;0.043
6040;-0.067;0.170;0.004
6080;-0.067;0.210;-0.054
6100;-0.063;0.255;-0.101
6140;0.002;0.327;-0.184
6180;0.133;0.359;-0.173
6200;0.195;0.388;-0.202
6240;0.380;0.500;-0.302
6280;0.442;0.510;-0.250
6320;0.218;0.159;-0.111
6360;0.247;0.241;0.148
6380;0.344;0.256;0.186
6420;0.194;0.475;0.189
6460;0.029;0.259;-0.021
6500;0.139;0.092;-0.093
6540;0.150;-0.026;-0.136
6580;0.085;-0.115;-0.067
6620;-0.091;-0.142;-0.053
6660;-0.173;-0.153;-0.054
6700;-0.177;-0.148;-0.020
6740;-0.139;-0.052;0.056
6780;-0.076;-0.019;0.112
6820;-0.041;0.021;0.141
6860;0.035;-0.053;0.152
6900;0.171;-0.177;0.156
6940;0.346;-0.350;0.103
6980;0.140;0.012;-0.010
7020;0.127;0.214;-0.092
7060;0.161;-0.034;-0.150
7100;0.090;-0.334;-0.109
7140;0.002;-0.208;0.016
7180;0.073;0.035;0.087
7220;-0.106;0.276;0.233
7260;-0.186;0.287;0.191
7300;-0.293;0.407;0.214
7340;-0.437;0.473;0.164
7380;-0.437;0.567;0.093
7420;-0.293;0.627;0.020
7460;-0.148;0.602;-0.071
7500;-0.042;0.541;-0.111
7540;0.166;0.611;-0.183
7580;0.276;0.685;-0.219
7620;0.289;0.486;-0.148
7660;0.070;0.192;-0.012
7680;0.037;0.085;0.073
7720;-0.052;0.187;0.169
7760;-0.186;0.375;0.060
7800;-0.329;0.506;-0.026
7840;-0.240;0.412;-0.005
7880;-0.100;0.188;-0.059
7920;-0.089;0.119;-0.140
7960;-0.136;0.208;-0.184
8000;-0.170;0.282;-0.170
8040;-0.148;0.243;-0.113
8080;-0.118;0.169;-0.064
8120;-0.029;0.049;-0.023
8160;0.187;0.021;0.106
8200;0.321;0.031;0.222
8240;0.360;0.079;0.345
8280;0.228;0.051;0.250
8320;0.131;0.618;0.076
8360;0.458;0.409;0.003
8400;0.291;0.420;-0.021
8440;-0.032;0.458;-0.082
8460;-0.116;0.583;-0.091
8500;-0.161;1.034;-0.016
8540;-0.211;1.216;0.042
8580;-0.217;1.224;0.062
8620;-0.298;1.244;0.075
8660;-0.304;1.275;0.062
8700;-0.319;1.276;0.003
8740;-0.266;1.302;-0.073
8780;-0.210;1.244;-0.137
8820;-0.076;1.119;-0.116
8860;0.050;1.089;-0.074
8900;0.096;1.209;-0.073
8940;-0.016;1.107;-0.043
8960;-0.043;1.010;-0.040
9000;0.084;1.198;-0.077
9040;0.049;1.616;-0.072
9080;-0.117;1.566;-0.035
9120;-0.246;1.459;0.008
9160;-0.200;1.319;-0.036
9200;-0.194;1.202;-0.048
9240;-0.181;1.269;-0.097
9280;-0.173;1.394;-0.073
9320;-0.247;1.434;-0.008
9360;-0.302;1.362;0.003
9400;-0.305;1.236;0.045
9440;-0.211;1.122;0.131
9480;-0.184;1.028;0.184
9520;-0.153;0.940;0.232
9560;-0.113;0.877;0.255
9600;-0.023;0.883;0.266
9640;0.058;0.942;0.284
9680;0.119;1.039;0.302
9720;-0.002;1.315;0.182
9760;0.059;1.266;0.141
9800;-0.049;1.072;-0.103
9840;-0.056;1.301;-0.049
9880;0.102;1.387;0.057
9920;0.054;1.361;0.004
9960;-0.046;1.507;0.015
9980;-0.045;1.634;0.056
10019;-0.053;1.648;0.101
10059;-0.121;1.712;0.103
10099;-0.164;1.789;0.132
10139;-0.216;1.818;0.127
10179;-0.281;1.855;0.113
10219;-0.272;1.877;0.114
10259;-0.263;1.743;0.139
10279;-0.228;1.665;0.136
10319;-0.170;1.505;0.115
10339;-0.150;1.417;0.087
10379;-0.090;1.342;-0.046
10419;-0.024;1.342;-0.123
10459;0.049;1.324;-0.153
10499;0.148;1.158;-0.174
10539;0.324;1.024;-0.103
10579;0.368;0.806;0.055
10619;0.288;0.702;0.175
10659;0.156;0.840;0.395
10699;0.021;0.859;0.247
10739;-0.023;0.698;0.005
10759;-0.045;0.682;-0.056
10799;-0.109;0.497;-0.184
10839;-0.138;0.424;-0.177
10879;-0.196;0.322;-0.150
10919;-0.248;0.245;-0.181
10959;-0.186;0.194;-0.178
10999;-0.122;0.139;-0.150
11039;-0.125;-0.154;-0.147
11079;0.007;-0.335;-0.066
11119;0.274;-0.422;0.039
11159;0.392;-0.519;0.045
11199;0.208;-0.436;-0.024
11239;-0.007;0.160;-0.049
11279;0.266;-0.175;-0.107
11319;0.095;-0.354;-0.105
11359;-0.050;-0.308;-0.134
11399;-0.067;-0.002;-0.024
11439;-0.111;0.150;0.018
11479;-0.142;0.169;0.011
11519;-0.148;0.164;-0.023
11539;-0.160;0.178;-0.018
11579;-0.190;0.269;0.000
11619;-0.251;0.368;-0.030
11659;-0.187;0.396;-0.097
11699;-0.097;0.365;-0.173
11739;0.032;0.326;-0.186
11779;0.227;0.457;-0.199
11819;0.390;0.332;-0.183
11839;0.344;0.194;-0.088
11879;0.058;-0.335;0.056
11919;0.162;-0.181;0.269
11959;0.083;0.445;0.341
11999;-0.197;0.522;0.224
12039;-0.020;0.292;0.043
12059;0.028;0.181;-0.042
12099;-0.297;-0.117;-0.200
12139;-0.078;-0.053;-0.151
12159;0.085;0.058;-0.084
12199;-0.067;0.199;-0.025
12239;-0.251;0.010;-0.013
12279;-0.057;-0.134;0.093
12319;0.123;-0.139;0.137
12359;0.332;-0.117;0.165
12399;0.407;-0.185;0.171
12439;0.108;-0.004;0.012
12459;0.141;0.098;-0.039
12499;0.339;-0.016;-0.015
12539;0.401;-0.304;-0.010
12559;0.238;-0.296;-0.019
12599;-0.028;-0.306;-0.094
12639;0.049;-0.006;-0.038
12659;0.046;0.066;-0.016
12699;-0.034;0.150;0.022
12739;-0.090;0.178;0.054
12779;-0.215;0.239;0.045
12819;-0.279;0.426;0.048
12859;-0.278;0.618;0.011
12899;-0.274;0.834;-0.073
12919;-0.252;0.905;-0.101
12959;-0.203;1.032;-0.139
12999;-0.135;1.180;-0.156
13039;-0.104;1.260;-0.161
13079;-0.043;1.326;-0.144
13119;0.084;1.363;-0.099
13159;-0.114;1.255;-0.062
13199;-0.394;0.894;0.153
13239;-0.258;1.258;0.321
13279;-0.252;1.197;0.263
13319;-0.412;1.010;0.221
13359;-0.357;1.128;0.018
13399;-0.388;1.279;0.007
13439;-0.312;1.399;0.130
13479;-0.334;1.513;0.243
13519;-0.203;1.415;0.280
13559;-0.007;1.246;0.410
13599;0.013;1.090;0.501
13639;-0.089;1.087;0.090
13659;-0.136;1.198;-0.067
13699;-0.181;1.532;-0.018
13739;-0.147;1.763;0.081
13779;-0.340;2.133;0.084
13819;-0.363;2.444;0.250
13839;-0.324;2.499;0.269
13879;-0.426;2.425;0.164
13919;-0.476;2.522;0.108
13959;-0.511;2.673;0.065
13999;-0.648;2.671;0.173
14039;-0.611;2.641;0.321
14079;-0.679;2.437;0.393
14119;-0.700;2.260;0.456
14159;-0.683;2.012;0.626
14199;-0.627;1.556;0.640
14239;-0.332;1.533;0.585
14279;-0.145;1.439;0.580
14319;-0.113;1.281;0.580
14359;-0.207;1.079;0.492
14399;-0.415;1.070;0.396
14439;-0.612;1.282;0.397
14479;-0.769;1.385;0.342
14519;-0.488;1.470;0.462
14559;-0.274;1.104;0.458
14599;-0.219;1.135;0.464
14639;-0.250;1.335;0.553
14679;-0.155;1.283;0.569
14719;-0.034;1.217;0.491
14759;0.117;1.021;0.437
14799;0.199;0.654;0.374
14839;0.288;0.342;0.269
14879;0.447;0.154;0.155
14919;0.585;0.056;-0.026
14959;0.688;-0.037;-0.178
14999;0.783;-0.117;-0.199
15039;0.965;-0.117;-0.178
15079;1.054;-0.139;-0.127
15119;0.888;-0.125;-0.132
15159;0.955;-0.096;-0.169
15199;1.034;-0.032;-0.186
15239;1.033;0.031;-0.158
15279;0.898;0.087;-0.142
15319;0.704;0.145;-0.120
15359;0.570;0.159;-0.093
15399;0.524;0.237;-0.048
15439;0.404;0.268;0.024
15479;0.278;0.210;0.060
15519;0.133;0.108;0.086
15559;0.052;0.001;0.115
15599;0.027;-0.123;0.156
15639;0.072;-0.159;0.195
15679;-0.082;-0.089;0.206
15719;-0.097;-0.104;0.202
15739;-0.068;-0.124;0.181
15779;-0.080;-0.175;0.166
15799;-0.045;-0.211;0.165
15839;-0.010;-0.222;0.152
15879;-0.033;-0.198;0.135
15919;-0.038;-0.161;0.122
15939;-0.041;-0.128;0.113
15979;-0.034;-0.091;0.071
16019;-0.045;-0.042;0.031
16059;-0.029;-0.002;0.020
16099;-0.057;-0.002;0.001
16139;-0.072;0.045;-0.013
16179;-0.073;0.046;-0.009
16219;-0.049;0.073;-0.012
16259;-0.010;0.086;0.001
16299;-0.019;0.110;-0.001
16339;-0.034;0.119;-0.004
16379;-0.053;0.114;-0.001
16419;-0.062;0.098;-0.002
16459;-0.066;0.082;-0.005
16499;-0.072;0.060;-0.007
16539;-0.057;0.037;-0.010
16579;-0.041;0.013;-0.011
16619;-0.030;-0.007;-0.010
16659;-0.021;-0.013;-0.009
16699;-0.002;-0.015;-0.010
16739;0.008;-0.013;-0.011
16779;0.015;-0.004;-0.010
16819;0.016;0.002;-0.008
16859;0.020;0.002;-0.009
16899;0.022;0.011;-0.008
16919;0.015;0.012;-0.007
16959;0.026;0.012;-0.004
16999;0.012;0.013;-0.004
17039;0.015;0.007;0.004
17079;0.019;0.003;0.002
17119;0.017;-0.006;0.003
17159;0.014;-0.012;0.002
17199;0.018;-0.008;0.001
17239;0.014;-0.010;0.002
17279;0.014;-0.002;0.001
17319;0.017;-0.008;0.000
17359;0.009;-0.009;-0.002
17399;0.010;-0.004;-0.004
17439;0.009;0.001;-0.004
17479;0.003;0.004;-0.003
17519;-0.005;0.007;-0.004
17559;-0.001;0.002;-0.003
17599;-0.005;0.008;-0.002
17619;-0.003;0.004;-0.002
17659;-0.010;0.005;-0.004
17699;-0.011;0.000;-0.005
17739;-0.009;0.005;-0.003
17779;-0.013;0.000;-0.004
17819;-0.007;-0.002;-0.001
17859;-0.017;0.002;0.001
17899;0.048;-0.012;-0.001
17939;0.037;-0.001;0.003
17979;0.096;-0.007;-0.001
18019;0.042;0.005;-0.002
18059;0.045;0.008;-0.001
18099;0.046;0.004;-0.002
18139;0.024;0.007;-0.004
18179;0.007;0.011;-0.001
18199;0.023;0.012;-0.001
18239;-0.007;0.008;0.002
18279;-0.001;0.005;0.005
