DURACAO;AVL EIXO X;AVL EIXO Y;AVL EIXO Z
0;-0.005;-0.008;0.004
40;-0.005;-0.008;0.004
60;-0.005;-0.008;0.004
100;0.012;0.004;0.005
140;0.008;-0.002;0.003
180;-0.004;0.001;0.000
200;0.001;0.001;0.002
240;0.017;-0.008;0.010
280;-0.007;0.003;0.009
300;0.004;0.006;0.007
340;-0.006;-0.012;0.004
380;-0.016;-0.005;0.004
400;-0.005;-0.002;0.001
440;-0.009;0.003;0.001
480;-0.007;0.001;0.005
520;-0.012;0.000;0.005
560;-0.007;0.008;0.005
600;-0.010;0.005;0.003
640;-0.010;0.010;0.002
680;-0.016;0.009;0.003
720;-0.013;0.010;0.006
760;-0.009;0.018;0.002
800;-0.011;0.023;0.004
840;-0.012;0.018;-0.001
880;0.010;0.007;0.007
920;-0.004;0.007;0.007
960;0.003;0.009;0.005
1000;0.004;0.008;0.006
1040;0.002;0.007;0.003
1080;-0.004;0.005;0.004
1120;0.002;0.005;0.006
1160;0.003;0.004;0.005
1200;0.001;0.003;0.002
1240;-0.002;-0.001;0.002
1280;-0.001;0.003;0.002
1320;-0.001;0.003;0.001
1360;0.002;0.002;0.002
1400;0.001;-0.002;-0.003
1440;0.002;-0.005;-0.003
1480;-0.004;0.005;-0.003
1520;0.004;0.001;-0.005
1560;0.007;-0.015;-0.007
1600;0.005;-0.007;-0.006
1640;0.009;-0.020;-0.009
1680;0.003;-0.016;-0.007
1720;0.005;-0.010;-0.007
1760;0.000;-0.016;-0.010
1800;0.008;-0.014;-0.008
1840;0.003;-0.010;-0.007
1880;0.001;-0.009;-0.005
1920;0.001;-0.012;-0.004
1960;-0.001;-0.010;-0.003
2000;-0.002;-0.009;-0.007
2040;-0.005;-0.006;-0.006
2080;0.004;0.009;0.001
2120;0.015;-0.004;0.011
2160;0.000;-0.018;-0.002
2200;0.006;-0.008;0.001
2240;0.027;-0.015;0.009
2280;0.005;0.004;0.009
2320;0.012;0.003;-0.005
2360;0.008;-0.003;-0.005
2400;0.022;0.002;0.005
2440;0.015;-0.007;0.006
2480;0.021;-0.002;0.010
2520;0.013;-0.004;0.007
2560;0.003;0.001;0.004
2600;0.005;0.001;0.007
2640;0.000;0.009;0.005
2680;-0.007;-0.004;0.000
2720;-0.004;-0.004;0.000
2760;-0.015;-0.007;0.008
2800;-0.007;-0.009;0.004
2840;-0.009;-0.004;-0.002
2880;-0.001;0.004;0.001
2920;0.009;-0.005;0.004
2960;-0.014;0.002;0.001
3000;0.006;0.009;0.004
3040;-0.002;0.007;0.004
3080;-0.005;0.007;0.005
3124;-0.008;0.016;0.005
3160;0.000;0.012;0.004
3200;-0.006;0.014;0.002
3240;-0.010;0.015;0.002
3280;-0.010;0.027;0.001
3320;-0.016;0.021;0.002
3360;-0.004;-0.004;0.000
3400;-0.012;0.004;0.010
3440;-0.101;-0.046;0.018
3480;-0.248;-0.003;0.011
3520;-0.444;0.092;0.002
3560;-0.601;0.048;0.002
3600;-0.780;0.048;-0.042
3640;-0.940;0.049;-0.093
3680;-1.135;0.050;-0.099
3720;-1.279;-0.032;-0.071
3760;-1.296;0.015;-0.113
3800;-1.554;0.301;-0.152
3840;-1.453;0.126;-0.055
3880;-1.144;0.248;-0.044
3920;-0.746;0.253;-0.047
3960;-0.437;0.168;-0.023
4000;-0.152;0.103;0.054
4040;0.094;0.092;0.024
4080;0.235;0.071;0.026
4120;0.331;0.027;0.048
4160;0.431;0.015;0.081
4200;0.525;0.027;0.086
4240;0.625;0.012;0.071
4280;0.732;0.010;0.070
4320;0.814;-0.004;0.072
4360;0.911;-0.054;0.114
4400;0.997;-0.205;0.082
4440;1.047;-0.219;-0.010
4480;1.020;-0.330;-0.064
4500;1.000;-0.428;-0.057
4540;0.932;-0.481;-0.051
4580;0.702;-0.460;0.004
4620;0.664;-0.155;-0.060
4660;0.656;-0.216;-0.004
4700;0.568;-0.297;0.054
4740;0.596;0.034;0.122
4780;0.445;0.392;0.114
4820;0.290;0.258;0.034
4860;0.368;0.034;-0.012
4900;0.261;0.032;0.058
4940;0.271;-0.029;0.117
4980;0.268;-0.077;0.160
5020;0.323;0.216;0.341
5060;0.330;0.130;0.294
5100;0.265;0.057;0.198
5140;0.021;0.254;0.054
5180;0.534;-0.231;0.249
5220;0.244;-0.191;0.247
5260;-0.166;-0.622;-0.046
5300;-0.435;-0.677;-0.065
5340;0.266;-0.289;0.106
5380;0.333;-0.157;0.082
5420;0.100;-0.428;-0.083
5460;-0.076;-0.368;-0.073
5500;-0.167;-0.119;-0.044
5540;0.040;-0.006;-0.151
5580;0.244;0.313;-0.169
5620;0.126;0.291;-0.241
5660;0.057;0.249;-0.216
5700;0.032;0.362;-0.123
5720;0.075;0.282;-0.119
5760;0.084;-0.323;-0.335
5800;-0.260;-0.114;0.044
5840;0.169;-0.107;-0.027
5880;-0.161;0.469;-0.138
5920;0.055;0.265;-0.059
5960;-0.082;-0.081;-0.065
6000;-0.042;0.276;0.043
6040;-0.191;0.349;0.089
6080;-0.236;0.151;0.053
6120;-0.024;0.283;0.052
6160;0.020;0.339;0.103
6200;-0.022;0.205;0.156
6240;0.112;0.143;0.159
6280;0.103;0.139;0.170
6300;0.127;0.187;0.182
6340;0.250;0.103;0.184
6380;0.111;-0.278;0.232
6420;0.388;0.564;0.062
6460;0.366;-0.751;0.108
6500;-0.469;-0.294;0.214
6540;-0.122;-0.349;-0.010
6580;0.641;0.397;0.076
6620;0.279;0.170;-0.087
6660;0.128;-0.242;-0.140
6700;-0.056;0.068;-0.098
6740;0.067;0.257;-0.061
6780;0.202;0.328;-0.101
6820;0.181;0.398;-0.140
6860;0.191;0.336;-0.200
6900;0.217;0.539;-0.218
6940;0.174;0.641;-0.189
6980;0.174;0.522;-0.162
7020;0.265;0.856;-0.201
7040;0.442;1.111;-0.224
7080;0.345;-0.013;-0.473
7120;-0.738;0.272;0.193
7160;-0.150;0.894;0.046
7200;-0.544;0.665;-0.042
7240;-0.009;0.230;-0.050
7280;-0.093;0.563;-0.021
7320;-0.337;0.778;0.051
7360;-0.326;0.554;-0.007
7400;-0.242;0.630;-0.021
7440;-0.185;0.824;-0.007
7480;-0.125;0.891;0.037
7520;-0.138;1.027;0.092
7560;0.060;1.088;0.111
7600;0.063;1.100;0.092
7640;-0.071;0.942;0.127
7680;-0.079;0.831;0.177
7720;-0.093;0.569;0.294
7760;0.080;1.854;0.050
7800;0.052;0.244;0.172
7840;-0.211;0.997;-0.071
7880;0.257;1.462;-0.123
7920;0.181;1.373;-0.173
7960;0.219;1.319;-0.154
8000;0.257;1.509;-0.162
8040;0.229;1.610;-0.164
8080;0.249;1.644;-0.173
8120;0.235;1.682;-0.159
8160;0.281;1.716;-0.157
8200;0.380;1.801;-0.162
8240;0.320;1.721;-0.131
8280;0.327;1.713;-0.131
8320;0.384;1.903;-0.145
8360;0.278;2.067;-0.234
8400;0.136;1.933;-0.208
8440;0.283;1.899;-0.059
8480;0.260;1.748;-0.059
8520;0.060;1.557;-0.094
8560;0.107;1.643;-0.046
8580;0.224;1.581;0.031
8620;0.249;1.393;-0.111
8660;0.007;1.491;-0.156
8700;-0.102;1.539;-0.001
8740;-0.004;1.277;-0.045
8780;0.019;1.330;-0.073
8820;-0.126;1.404;-0.026
8860;0.002;1.488;-0.071
8900;-0.025;1.492;-0.158
8940;-0.045;1.348;-0.095
8980;-0.054;1.388;-0.076
9020;0.018;1.200;-0.056
9060;0.120;0.942;-0.045
9080;0.126;1.089;-0.002
9120;0.236;1.040;0.007
9160;0.456;0.687;0.013
9200;0.340;0.687;0.122
9240;0.236;0.608;0.086
9280;0.332;0.675;0.060
9320;0.264;0.502;0.065
9360;0.116;0.492;-0.090
9400;0.684;0.034;0.033
9440;0.178;0.207;-0.024
9480;0.119;0.244;-0.071
9520;0.349;0.199;-0.068
9560;0.155;0.227;-0.115
9600;0.021;0.202;-0.108
9640;-0.088;0.371;-0.098
9680;-0.035;0.413;-0.088
9720;-0.015;0.324;-0.087
9760;0.001;0.364;-0.134
9800;-0.001;0.506;-0.172
9840;0.027;0.377;-0.160
9880;0.143;0.213;-0.119
9920;0.215;0.291;-0.040
9960;0.172;0.358;-0.064
10000;0.053;-0.018;-0.192
10040;-0.106;-0.109;0.041
10080;0.056;0.365;-0.020
10120;-0.255;0.360;-0.093
10160;-0.044;0.192;-0.032
10200;0.079;0.420;-0.081
10240;-0.161;0.465;-0.020
10280;-0.151;0.266;0.008
10320;-0.120;0.240;0.035
10360;0.060;0.173;0.075
10400;0.030;0.067;0.109
10440;0.043;0.052;0.145
10480;0.048;-0.092;0.189
10520;0.214;-0.031;0.158
10560;0.409;0.034;0.183
10600;0.144;-0.167;0.332
10640;0.447;0.493;-0.186
10680;-0.252;-0.101;0.004
10720;-0.440;-0.259;-0.115
10760;0.349;0.115;-0.175
10800;0.373;0.429;-0.019
10840;0.035;0.059;-0.161
10880;-0.097;0.005;-0.130
10920;-0.092;0.297;-0.090
10960;0.142;0.432;-0.064
11000;0.128;0.489;-0.129
11040;0.046;0.421;-0.185
11080;0.083;0.497;-0.200
11120;0.089;0.580;-0.198
11140;0.109;0.593;-0.185
11180;0.133;0.428;-0.113
11220;0.071;0.227;-0.151
11260;-0.435;0.326;0.045
11300;-0.106;0.577;-0.147
11340;-0.496;0.853;-0.042
11380;-0.432;0.618;-0.010
11420;-0.122;0.544;-0.039
11460;-0.180;0.953;-0.023
11500;-0.125;0.993;0.001
11540;-0.180;1.157;-0.003
11580;-0.135;1.089;0.008
11620;0.096;0.938;0.024
11660;0.168;0.855;0.076
11700;0.155;0.861;0.238
11740;0.282;0.922;0.374
11780;0.574;0.938;0.447
11820;-0.122;0.147;0.592
11860;-0.027;1.454;0.242
11900;-0.152;0.508;0.045
11940;-0.070;1.461;0.130
11980;0.106;2.167;0.101
12020;-0.005;1.763;-0.150
12060;-0.250;2.263;-0.087
12100;-0.225;2.323;-0.098
12140;-0.192;2.416;-0.084
12180;-0.177;2.328;-0.082
12220;-0.163;2.254;-0.081
12260;-0.139;2.262;-0.044
12300;-0.177;2.190;-0.005
12340;-0.193;2.039;0.024
12380;-0.262;2.001;0.109
12420;-0.297;2.047;0.263
12460;-0.321;2.392;0.261
12500;-0.420;2.299;0.302
12540;-0.430;2.686;0.294
12580;-0.371;2.281;0.279
12620;-0.248;1.960;0.359
12660;-0.145;1.803;0.345
12700;-0.028;1.465;0.368
12740;0.012;1.163;0.443
12780;0.042;1.029;0.424
12820;0.029;0.886;0.405
12860;-0.071;0.889;0.404
12900;-0.189;1.229;0.255
12940;-0.385;0.663;0.186
12980;-0.549;0.387;0.307
13020;-0.392;0.662;0.338
13060;-0.354;0.798;0.237
13100;-0.269;1.013;0.071
13140;-0.491;1.150;-0.004
13180;-0.619;0.450;0.179
